date,dailyreturn
2022-03-07,-0.86
2022-03-08,-0.80
2022-03-09,0.74
2022-03-10,0.87
2022-03-11,-0.02
2022-03-14,0.43
2022-03-15,-0.49
2022-03-16,1.07
2022-03-17,-0.40
2022-03-18,-0.14
2022-03-21,0.00
2022-03-22,0.66
2022-03-23,-0.07
2022-03-24,0.77
2022-03-25,-0.67
2022-03-28,0.67
2022-03-29,-0.54
2022-03-30,0.59
2022-03-31,0.26
2022-04-01,0.10
2022-04-04,0.53
2022-04-05,0.45
2022-04-06,-0.62
2022-04-07,0.33
2022-04-08,1.17
2022-04-11,-0.10
2022-04-12,0.15
2022-04-13,0.67
2022-04-14,-0.38
2022-04-18,0.55
2022-04-19,-1.05
2022-04-20,0.39
2022-04-21,0.68
2022-04-22,-0.70
2022-04-25,-0.13
2022-04-26,0.22
2022-04-27,-0.49
2022-04-28,0.45
2022-05-09,-4.42
2022-05-10,-1.30
2022-05-11,-0.05
2022-05-12,-3.17
2022-05-13,-0.03
2022-05-17,0.70
2022-05-18,2.24
2022-05-19,0.44
2022-05-20,1.39
2022-05-23,-1.12
2022-05-24,1.07
2022-05-25,-0.44
2022-05-27,2.07
2022-05-30,0.16
2022-05-31,1.58
2022-06-02,0.00
2022-06-03,0.48
2022-06-06,-1.20
2022-06-07,0.63
2022-06-08,0.73
2022-06-09,-0.15
2022-06-10,-1.34
2022-06-13,-1.29
2022-06-14,0.78
2022-06-15,-0.61
2022-06-16,0.62
2022-06-17,-1.61
2022-06-20,0.57
2022-06-21,0.97
2022-06-22,-0.85
2022-06-23,0.20
2022-06-24,0.64
2022-06-27,-0.38
2022-06-28,-0.28
2022-06-29,-0.77
2022-06-30,-0.44
2022-07-01,-1.70
2022-07-04,-2.28
2022-07-05,0.97
2022-07-06,-0.85
2022-07-07,0.09
2022-07-08,1.32
2022-07-11,-0.27
2022-07-12,-0.06
2022-07-13,-1.15
2022-07-14,0.74
2022-07-15,-0.57
2022-07-18,0.11
2022-07-19,1.15
2022-07-20,2.06
2022-07-21,-0.15
2022-07-22,0.33
2022-07-25,-0.41
2022-07-26,0.19
2022-07-27,0.39
2022-07-28,0.85
2022-07-29,-0.08
2022-08-01,0.25
2022-08-02,0.28
2022-08-03,0.84
2022-08-04,0.15
2022-08-05,0.39
2022-08-08,0.03
2022-08-09,0.23
2022-08-10,-0.23
2022-08-11,1.05
2022-08-12,-0.43
2022-08-15,-0.50
2022-08-16,0.57
2022-08-18,0.74
2022-08-19,-0.20
2022-08-22,-0.90
2022-08-23,0.78
2022-08-24,0.44
2022-08-25,-0.28
2022-08-26,-0.54
2022-08-29,-0.04
2022-08-30,0.38
2022-08-31,0.27
2022-09-01,-0.36
2022-09-02,0.34
2022-09-05,0.76
2022-09-06,0.02
2022-09-07,-0.64
2022-09-08,0.63
2022-09-09,0.15
2022-09-12,0.16
2022-09-13,0.88
2022-09-14,-0.55
2022-09-15,0.38
2022-09-16,-1.87
2022-09-19,0.37
2022-09-20,0.02
2022-09-21,-0.12
2022-09-22,0.43
2022-09-23,-0.56
2022-09-26,-0.71
2022-09-27,-0.21
2022-09-28,-0.50
2022-09-29,-0.58
2022-09-30,0.07
2022-10-03,-0.44
2022-10-04,0.89
2022-10-05,0.04
2022-10-06,0.02
2022-10-07,-0.70
2022-10-10,-0.46
2022-10-11,-0.79
2022-10-12,-0.43
2022-10-13,-0.41
2022-10-14,-0.96
2022-10-17,0.24
2022-10-18,0.05
2022-10-19,0.38
2022-10-20,1.75
2022-10-21,0.53
2022-10-24,0.50
2022-10-25,-0.07
2022-10-26,-0.06
2022-10-27,0.68
2022-10-28,-0.50
2022-10-31,0.61
2022-11-01,-0.66
2022-11-02,-0.52
2022-11-03,0.27
2022-11-04,0.16
2022-11-07,0.81
2022-11-08,-0.74
2022-11-09,0.28
2022-11-10,-1.46
2022-11-11,1.76
2022-11-14,-0.98
2022-11-15,0.23
2022-11-16,-0.30
2022-11-17,0.44
2022-11-18,0.53
2022-11-21,-0.27
2022-11-22,-0.46
2022-11-23,0.33
2022-11-24,0.37
2022-11-25,-0.39
2022-11-28,-0.51
2022-11-29,-0.08
2022-11-30,0.99
2022-12-01,-0.85
2022-12-02,-0.02
2022-12-05,-0.46
2022-12-06,-1.36
2022-12-07,-1.07
2022-12-08,-0.21
2022-12-09,-1.31
2022-12-12,0.29
2022-12-13,1.13
2022-12-14,-0.13
2022-12-15,-0.73
2022-12-16,0.89
2022-12-19,-0.48
2022-12-20,-0.17
2022-12-21,0.77
2022-12-22,0.06
2022-12-23,-0.35
2022-12-26,0.52
2022-12-27,1.28
2022-12-28,-1.05
2022-12-29,0.14
2022-12-30,-0.14
2023-01-02,0.01
2023-01-03,0.55
2023-01-04,-1.10
2023-01-05,-2.34
